id|url|date|renderedContent|hashtags|replyCount|retweetCount|likeCount
1610629049302552577|https://twitter.com/saz_grace/status/1610629049302552577|2023-01-04 13:27:44+00:00|"the song of achilles has such a beautiful ending 
•
#booktwitter #thesongofachilles"|'booktwitter', 'thesongofachilles'|0|0|0
1610625669557538818|https://twitter.com/mikovoid/status/1610625669557538818|2023-01-04 13:14:18+00:00|chariz i cant do it im reading the song of achilles later i swear hdjwdhjshsjsb twitter.com/mikovoid/statu…||1|0|0
1610624650547011586|https://twitter.com/S2MIKEW/status/1610624650547011586|2023-01-04 13:10:15+00:00|@pippasravi i fell in love with hope &amp; the song of achilles !!||1|0|0
1610620574124101632|https://twitter.com/bookofdior/status/1610620574124101632|2023-01-04 12:54:03+00:00|guys i can’t get over the song of achilles.||0|0|0
1610620407450681347|https://twitter.com/gregorbkny/status/1610620407450681347|2023-01-04 12:53:23+00:00|"@MoiraDonegan Unsolicited suggestion of a follow up novel: Circe by Madeline Miller. 
A great story from the POV of Circe, drawn from the Odyssey

Her 1st novel Song of Achilles I like, but reading this was intense and enjoyable."||0|0|1
1610615345374695424|https://twitter.com/k80b0t/status/1610615345374695424|2023-01-04 12:33:16+00:00|i wish i could read the song of achilles for the first time again||0|0|0
1610613160142327810|https://twitter.com/Melanie07135474/status/1610613160142327810|2023-01-04 12:24:35+00:00|just finished ‘the song of achilles’ by madeline miller and to tell you i sobbed at the end.||0|0|0
1610607955929333763|https://twitter.com/cxnisaureus/status/1610607955929333763|2023-01-04 12:03:54+00:00|(( The song of Achilles got me sobbing||0|0|1
1610606999619633155|https://twitter.com/thisisxami/status/1610606999619633155|2023-01-04 12:00:06+00:00|"hii i'm not new to #booktwt but i'm looking for interactive moots!

- 19, she/her
- fantasy, romance, psychological, sci-fi
- some favs:
the song of achilles, the secret history, heroes of olympus, ari and dante, 
she who became the sun, gideon the ninth 

 ♡/↺ to be moots &lt;3"|'booktwt'|0|0|6
1610604063996911618|https://twitter.com/storysinger81/status/1610604063996911618|2023-01-04 11:48:27+00:00|"@veefrugalfox Fiction: Song of Achilles by Madeline Miller (with Matrix by Lauren Groff a close second).

Nonfiction: The 1619 Project, Invisible Women

Kid Read-Aloud: The Dragonet Prophecy by Tui Sutherland (Wings of Fire Book 1)

2023: ???"||0|0|0
1610599098230657024|https://twitter.com/Unmana/status/1610599098230657024|2023-01-04 11:28:43+00:00|Read the song of Achilles instead https://t.co/ydt1jZVBdm||0|0|1
1610594814608936960|https://twitter.com/goodbyekeeley/status/1610594814608936960|2023-01-04 11:11:41+00:00|do i reread the song of achilles or do i feel a will to live||0|0|1
1610592525219434502|https://twitter.com/fleurdelilis/status/1610592525219434502|2023-01-04 11:02:36+00:00|the song of achilles being my first book and this one being my second … i just love self-destruction!||0|0|0
1610591496092397568|https://twitter.com/forelkets/status/1610591496092397568|2023-01-04 10:58:30+00:00|@inkstainedlove Is that from The Song of Achilles?||1|0|0
1610590086571204610|https://twitter.com/kendallhosseini/status/1610590086571204610|2023-01-04 10:52:54+00:00|so i read the song of achilles https://t.co/OBwGrEjJKr||0|0|29
1610587097626296322|https://twitter.com/El_isntcreative/status/1610587097626296322|2023-01-04 10:41:01+00:00|@chanescu the song of Achilles !||0|0|1
1610585937515548678|https://twitter.com/nightgeekmon/status/1610585937515548678|2023-01-04 10:36:25+00:00|"“...he smiled, and his face was like the sun.”

starting the year with a book i’ve been told to read countless times. readying myself emotionally! 🎶🎲⚔️

#nowreading The Song of Achilles by Madeline Miller https://t.co/ODBec5Zm2q"|'nowreading'|0|0|0
1610583424808681472|https://twitter.com/cloudy_zj/status/1610583424808681472|2023-01-04 10:26:26+00:00|I loved The Song of Achilles but Achilles is an asshole and he deserves every single bad thing that happened to him. 🏃🏃||0|0|2
1610579777458667520|https://twitter.com/patroclubs/status/1610579777458667520|2023-01-04 10:11:56+00:00|my friend who i have a book club with loves the song of achilles after i told her to read it https://t.co/3QilUBappF||1|0|1
1610579061796904961|https://twitter.com/bunnyteeth28/status/1610579061796904961|2023-01-04 10:09:06+00:00|@booklovers124 the song of achilles , that’s one of my fav 🤍||0|0|0
1610579024220127232|https://twitter.com/Nea_peaa/status/1610579024220127232|2023-01-04 10:08:57+00:00|@Ressniee The song of achilles||0|0|1
1610578564365299712|https://twitter.com/posxidonn/status/1610578564365299712|2023-01-04 10:07:07+00:00|@kenobistan the first to die at the end, the song of achilles, daughter of the moon goddess, the midnight library, dark matter||0|0|0
1610576526885490702|https://twitter.com/littlebabywylan/status/1610576526885490702|2023-01-04 09:59:01+00:00|"I have cried so much today
1 my car broke down and will not turn on so I don’t have a vehicle to drive 👍
2 I finished the song of achilles and I never read the iliad so i took it hard 👍
3 I JUST finished the book and it’s 4 am and my head hurts from lack of sleep and crying 👍"||0|0|0
1610574640950435841|https://twitter.com/cangrgd/status/1610574640950435841|2023-01-04 09:51:32+00:00|@insaneity_Vin Here! A Touch of Darkness, Ariadne, The Children of Jocasta, Circe, The song of Achilles (It's better if you read the Iliad first), Lore, Elektra, and A Thousand Ships||0|0|0
1610569439304626178|https://twitter.com/kami_o_o_/status/1610569439304626178|2023-01-04 09:30:51+00:00|"It’s finally time for the song of Achilles thingy 
I like the book way too much I need to art it"||0|0|0
1610566661647798272|https://twitter.com/AnnieDF97/status/1610566661647798272|2023-01-04 09:19:49+00:00|@KuroNoirr THE SONG OF ACHILLES||0|0|0
1610563956917309440|https://twitter.com/ventis_l0ver/status/1610563956917309440|2023-01-04 09:09:04+00:00|@fancition The song of achilles||0|0|0
