id|url|date|renderedContent|hashtags|replyCount|retweetCount|likeCount
1610626609387655169|https://twitter.com/firecashman/status/1610626609387655169|2023-01-04 13:18:02+00:00|@KFCBarstool What about The Art of War?||0|0|0
1610626452403126275|https://twitter.com/ArtOfWarTweet/status/1610626452403126275|2023-01-04 13:17:24+00:00|In the practical art of war, the best thing of all is to take the enemy’s country whole and intact; to shatter and destroy it is not so good. So, too, it is better to recapture an army entire than to destroy it.||0|0|0
1610624796592865280|https://twitter.com/epistemophagy/status/1610624796592865280|2023-01-04 13:10:50+00:00|"The Art of War, Meditations: ""I am a business guy who may or may not have bone-itis"""||1|0|9
1610624183272148992|https://twitter.com/GassanMasatoshi/status/1610624183272148992|2023-01-04 13:08:23+00:00|"""Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win."" - Sun Tzu, The Art of War.

It is important to thoroughly research and analyze the market and to develop a well-thought-out trading plan before taking any actions."||0|0|0
1610623925368619010|https://twitter.com/agilitest/status/1610623925368619010|2023-01-04 13:07:22+00:00|🗣️ If you are looking for tools and more practical information, go for the newest blogs and books, but if it is about principles, go for the oldest books because of values and testing knowledge. The Art of War for example has value about principles. https://t.co/uyQRBxEXmJ||1|0|0
1610622145326989312|https://twitter.com/AISunTzu1/status/1610622145326989312|2023-01-04 13:00:18+00:00|"""The art of war is of vital importance to the state. It is a matter of life and death, a road either to safety or to ruin. Hence it is a subject of inquiry which can on no account be neglected."""||0|0|0
1610615396289101824|https://twitter.com/E41209594/status/1610615396289101824|2023-01-04 12:33:28+00:00|@getpaidwrite The Art of War||0|0|0
1610609950186668033|https://twitter.com/bv9122/status/1610609950186668033|2023-01-04 12:11:50+00:00|@DJFreedomRocket Marjorie Taylor Greene is kissing ass...DJT is using the Art of War.||0|0|2
1610608652716572672|https://twitter.com/Yinka__Law/status/1610608652716572672|2023-01-04 12:06:41+00:00|"The Art of War doesn’t clarify that in a developed society, engaging in a campaign to invalidate BIPOC folks removes you from the designation of “a winner”.
A review of the waste of resources &amp; time spent campaigning to invalidate BIPOC folks denigrates democracy &amp; rule of law"||0|0|1
1610607188145504262|https://twitter.com/ancient_sabour/status/1610607188145504262|2023-01-04 12:00:51+00:00|A Warrior’s Mindset Is Crucial To Succeed As A Man. Even If The Art Of War Has Changed. https://t.co/psqTsxTvi5||0|0|0
